,Function,Parameter,,,,
0,batch_data_read,input_data,,input_data,,
1,batch_data_read,batch_type,,batch_type,,
2,batch_data_read,param_col,,param_col,,
3,batch_data_read,batch_params,,batch_params,,
4,batch_data_read,readcsv_getMeta_fetch_kwargs,,readcsv_getMeta_fetch_kwargs,,
5,check_peaks,hvsr_data,,hvsr_data,,
6,check_peaks,hvsr_band,,hvsr_band,,
7,check_peaks,peak_water_level,,peak_water_level,,
8,checkifpath,filepath,,filepath,,
9,error,err_message,,err_message,,
10,error,code,,code,,
11,fetch_data,params,,params,,
12,fetch_data,inv,,inv,,
13,fetch_data,source,,source,,
14,fetch_data,trim_dir,,trim_dir,,
15,fetch_data,export_format,,export_format,,TRUE
16,fetch_data,detrend,,detrend,,TRUE
17,fetch_data,detrend_order,,detrend_order,,TRUE
18,fetch_data,update_metadata,,update_metadata,,TRUE
19,fetch_data,verbose,,verbose,,TRUE
20,fetch_data,kwargs,,kwargs,,TRUE
21,generate_ppsds,remove_outliers,,remove_outliers,,TRUE
22,generate_ppsds,outlier_std,,outlier_std,,TRUE
23,generate_ppsds,ppsd_kwargs,,ppsd_kwargs,,TRUE
24,get_char,in_char,,in_char,,TRUE
25,get_metadata,write_path,,write_path,,TRUE
26,get_metadata,update_metadata,,input,,FALSE
27,get_metadata,source,,fig,,FALSE
28,get_removed_windows,input,,ax,,FALSE
29,get_removed_windows,fig,,lineArtist,,FALSE
30,get_removed_windows,ax,,winArtist,,FALSE
31,get_removed_windows,lineArtist,,existing_lineArtists,,FALSE
32,get_removed_windows,winArtist,,existing_xWindows,,FALSE
33,get_removed_windows,existing_lineArtists,,exist_win_format,,FALSE
34,get_removed_windows,existing_xWindows,,keep_line_artists,,FALSE
35,get_removed_windows,exist_win_format,,time_type,,FALSE
36,get_removed_windows,keep_line_artists,,hvsr_results,,FALSE
37,get_removed_windows,time_type,,export,,FALSE
38,get_report,hvsr_results,,report_format,,FALSE
39,get_report,export,,plot_type,,FALSE
40,get_report,report_format,,return_results,,FALSE
41,get_report,plot_type,,save_figs,,FALSE
42,get_report,return_results,,stream,,FALSE
43,get_report,verbose,,use_subplots,,FALSE
44,get_report,save_figs,,xtype,,FALSE
45,has_required_channels,stream,,return_fig,,FALSE
46,hvplot,hvsr_data,,save_dir,,FALSE
47,hvplot,plot_type,,save_suffix,,FALSE
48,hvplot,use_subplots,,show,,FALSE
49,hvplot,xtype,,clear_fig,,FALSE
50,hvplot,fig,,info_message,,FALSE
51,hvplot,ax,,datapath,,FALSE
52,hvplot,return_fig,,site,,FALSE
53,hvplot,save_dir,,network,,FALSE
54,hvplot,save_suffix,,station,,FALSE
55,hvplot,show,,loc,,FALSE
56,hvplot,clear_fig,,channels,,FALSE
57,hvplot,kwargs,,acq_date,,FALSE
58,info,info_message,,starttime,,FALSE
59,input_params,datapath,,endtime,,FALSE
60,input_params,site,,tzone,,FALSE
61,input_params,network,,xcoord,,FALSE
62,input_params,station,,ycoord,,FALSE
63,input_params,loc,,elevation,,FALSE
64,input_params,channels,,input_crs,,FALSE
65,input_params,acq_date,,output_crs,,FALSE
66,input_params,starttime,,elev_unit,,FALSE
67,input_params,endtime,,depth,,FALSE
68,input_params,tzone,,instrument,,FALSE
69,input_params,xcoord,,metapath,,FALSE
70,input_params,ycoord,,post_message,,FALSE
71,input_params,elevation,,fill_gaps,,FALSE
72,input_params,input_crs,,do_stalta,,FALSE
73,input_params,output_crs,,sta,,FALSE
74,input_params,elev_unit,,lta,,FALSE
75,input_params,depth,,stalta_thresh,,FALSE
76,input_params,instrument,,do_pctThresh,,FALSE
77,input_params,metapath,,sat_percent,,FALSE
78,input_params,hvsr_band,,min_win_size,,FALSE
79,input_params,verbose,,do_noiseWin,,FALSE
80,message,post_message,,noise_percent,,FALSE
81,plot_hvsr,hvsr_data,,do_warmup,,FALSE
82,plot_hvsr,plot_type,,warmup_time,,FALSE
83,plot_hvsr,xtype,,cooldown_time,,FALSE
84,plot_hvsr,fig,,return_dict,,FALSE
85,plot_hvsr,ax,,use_tkinter,,FALSE
86,plot_hvsr,save_dir,,component,,FALSE
87,plot_hvsr,save_suffix,,stack_type,,FALSE
88,plot_hvsr,show,,dbscale,,FALSE
89,plot_hvsr,kwargs,,cmap_per,,FALSE
90,plot_noise_windows,hvsr_data,,axes,,FALSE
91,plot_noise_windows,fig,,method,,FALSE
92,plot_noise_windows,ax,,smooth,,FALSE
93,plot_noise_windows,clear_fig,,freq_smooth,,FALSE
94,plot_noise_windows,fill_gaps,,f_smooth_width,,FALSE
95,plot_noise_windows,do_stalta,,resample,,FALSE
96,plot_noise_windows,sta,,remove_outlier_curves,,FALSE
97,plot_noise_windows,lta,,outlier_curve_std,,FALSE
98,plot_noise_windows,stalta_thresh,,kind,,FALSE
99,plot_noise_windows,do_pctThresh,,input_dict,,FALSE
100,plot_noise_windows,sat_percent,,_t,,FALSE
101,plot_noise_windows,min_win_size,,export_dir,,FALSE
102,plot_noise_windows,do_noiseWin,,sender,,FALSE
103,plot_noise_windows,noise_percent,,warn_message,,FALSE
104,plot_noise_windows,do_warmup,,,,
105,plot_noise_windows,warmup_time,,,,
106,plot_noise_windows,cooldown_time,,,,
107,plot_noise_windows,return_dict,,,,
108,plot_noise_windows,use_tkinter,,,,
109,plot_specgram_hvsr,hvsr_data,,,,
110,plot_specgram_hvsr,fig,,,,
111,plot_specgram_hvsr,ax,,,,
112,plot_specgram_hvsr,save_dir,,,,
113,plot_specgram_hvsr,save_suffix,,,,
114,plot_specgram_hvsr,kwargs,,,,
115,plot_specgram_stream,stream,,,,
116,plot_specgram_stream,params,,,,
117,plot_specgram_stream,component,,,,
118,plot_specgram_stream,stack_type,,,,
119,plot_specgram_stream,detrend,,,,
120,plot_specgram_stream,dbscale,,,,
121,plot_specgram_stream,fill_gaps,,,,
122,plot_specgram_stream,return_fig,,,,
123,plot_specgram_stream,fig,,,,
124,plot_specgram_stream,ax,,,,
125,plot_specgram_stream,cmap_per,,,,
126,plot_specgram_stream,kwargs,,,,
127,plot_stream,stream,,,,
128,plot_stream,params,,,,
129,plot_stream,fig,,,,
130,plot_stream,axes,,,,
131,plot_stream,return_fig,,,,
132,process_hvsr,params,,,,
133,process_hvsr,method,,,,
134,process_hvsr,smooth,,,,
135,process_hvsr,freq_smooth,,,,
136,process_hvsr,f_smooth_width,,,,
137,process_hvsr,resample,,,,
138,process_hvsr,remove_outlier_curves,,,,
139,process_hvsr,outlier_curve_std,,,,
140,process_hvsr,verbose,,,,
141,remove_noise,input,,,,
142,remove_noise,kind,,,,
143,remove_noise,sat_percent,,,,
144,remove_noise,noise_percent,,,,
145,remove_noise,sta,,,,
146,remove_noise,lta,,,,
147,remove_noise,stalta_thresh,,,,
148,remove_noise,warmup_time,,,,
149,remove_noise,cooldown_time,,,,
150,remove_noise,min_win_size,,,,
151,remove_noise,verbose,,,,
152,run,datapath,,,,
153,run,source,,,,
154,run,kind,,,,
155,run,method,,,,
156,run,hvsr_band,,,,
157,run,plot_type,,,,
158,run,verbose,,,,
159,run,kwargs,,,,
160,select_windows,input,,,,
161,test_class,input_dict,,,,
162,time_it,_t,,,,
163,trim_data,params,,,,
164,trim_data,stream,,,,
165,trim_data,export_dir,,,,
166,trim_data,export_format,,,,
167,trim_data,kwargs,,,,
168,warning,sender,,,,
169,warning,warn_message,,,,
170,warning,warn_message,,,,
171,warning,warn_message,,,,
172,,,,,,
173,,,,,,
174,,,,,,
175,,,,,,
